SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 1, HP, , 50/60, 07Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 2, HP, , 50/60, 09Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 3, HP, , 50/60, 10Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 5, HP, , 50/60, 12Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 7.5, HP, , 50/60, 13Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 10, HP, , 50/60, 14Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 15, HP, , 50/60, 15Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 20, HP, , 50/60, 16Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 25, HP, , 50/60, 17Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 30, HP, , 50/60, 18Z1B05-1015, , ,    
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 40, HP, , 50/60, 19Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 50, HP, , 50/60, 20Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 60, HP, , 50/60, 21Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 75, HP, , 50/60, 22Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 100, HP, , 50/60, 23Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 125, HP, , 50/60, 24Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 150, HP, , 50/60, 25Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 200, HP, , 50/60, 26Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 250, HP, , 50/60, 27Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 300, HP, , 50/60, 28Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 400, HP, , 50/60, 29Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 450, HP, , 50/60, 30Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 500, HP, , 50/60, 32Z1B05-1015, , ,

Mains, Harmonic Filter (Z1), 480V 3PH, 46, A, 750, 60, 19Z1C05-1000, For 40HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 57, A, 900, 60, 20Z1C05-1000, For 50HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 69, A, 1100, 60, 21Z1C05-1000, For 60HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 90, A, 1500, 60, 22Z1C05-1000, For 75HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 115, A, 1900, 60, 23Z1C05-1000, For 100HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 150, A, 2400, 60, 24Z1C05-1000, For 125HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 190, A, 2300, 60, 25Z1C05-1000, For 150HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 220, A, 3100, 60, 26Z1C05-1000, For 200HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 300, A, 3500, 60, 27Z1C05-1000, For 250HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 360, A, 4200, 60, 29Z1C05-1000, For 300HP Inverter, THDI < 8%, (Umax = 528V),
Mains, Harmonic Filter (Z1), 480V 3PH, 410, A, 4400, 60, 30Z1C05-1000, For 350HP Inverter, THDI < 8%, (Umax = 528V),

