SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 630, A, 945, , 31Z2F04-1003, 0.019 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 710, A, 953, , 32Z2F04-1003, 0.017 mH, ,
Motor, Motor Choke (Z1/Z2), 0-1600Hz (5-8kHz switching freq), 800, A, 949, , 33Z2F04-1003, 0.015 mH, ,

Combo, Mains Choke + Sine Filter (Z1), 400V 3PH, 221, A, 328, 45-65, 25Z1B04-1007, , ,
Combo, Mains Choke + Sine Filter (Z1), 400V 3PH, 263, A, 400, 45-65, 26Z1B04-1007, , ,
Combo, Mains Choke + Sine Filter (Z1), 400V 3PH, 315, A, 440, 45-65, 27Z1B04-1007, , ,
Combo, Mains Choke + Sine Filter (Z1), 400V 3PH, 390, A, 559, 45-65, 28Z1B04-1007, , ,
Combo, Mains Choke + Sine Filter (Z1), 400V 3PH, 485, A, 620, 45-65, 29Z1B04-1007, , ,
Combo, Mains Choke + Sine Filter (Z1), 400V 3PH, 600, A, 650, 45-65, 30Z1B04-1007, , ,
